abbr,latitude,longitude,state, cocktail,Image URL
OK,35.309765399999996,-98.71655849999999,Oklahoma,White Russian,https://d2lswn7b0fl4u2.cloudfront.net/photos/pg-a-cup-of-coffee-and-cream-1586615284.jpg
OR,44.1419049,-120.5380993,Oregon,Fancy Whiskey,https://cdn.hiconsumption.com/wp-content/uploads/2014/02/Old-Fashioned.jpg
PA,40.99459279999999,-77.6046984,Pennsylvania,Boston Sour,https://www.thewinebuzz.com/wp-content/webp-express/webp-images/doc-root/wp-content/uploads/2014/03/boston_sour-800x600.jpg.webp
RI,41.5827282,-71.5064508,Rhode Island,Cosmopolitan,https://www.thecocktaildb.com/images/media/drink/kpsajh1504368362.jpg
SC,33.62505,-80.9470381,South Carolina,Tequila Sunrise,https://www.thecocktaildb.com/images/media/drink/quqyqp1480879103.jpg
SD,44.2126995,-100.24716409999999,South Dakota,Screwdriver,https://www.thecocktaildb.com/images/media/drink/8xnyke1504352207.jpg
TN,35.830521000000005,-85.97859890000001,Tennessee,Horse's Neck (With A Kick),https://www.sidewalkshoes.com/wp-content/uploads/2020/02/202020228-featured-cocktail-lrg.jpg
TX,31.1693363,-100.0768425,Texas,Count Camillo's Paloma,https://i0.wp.com/www.imbored-letsgo.com/wp-content/uploads/2014/07/Paloma.jpg?w=680&ssl=1
UT,39.4997605,-111.547028,Utah,Cape Codder,https://tmbidigitalassetsazure.blob.core.windows.net/rms3-prod/attachments/37/300x300/exps37177_THE1213734_37177.jpg
VT,43.8717545,-72.4477828,Vermont,Cosmopolitan,https://www.thecocktaildb.com/images/media/drink/kpsajh1504368362.jpg
VA,38.0033855,-79.4587861,Virginia,Fancy Whiskey,https://cdn.hiconsumption.com/wp-content/uploads/2014/02/Old-Fashioned.jpg
WA,38.899348700000004,-77.0145665,Washington,Fancy Whiskey,https://cdn.hiconsumption.com/wp-content/uploads/2014/02/Old-Fashioned.jpg
WV,38.920170500000005,-80.1816905,West Virginia,Cosmopolitan,https://www.thecocktaildb.com/images/media/drink/kpsajh1504368362.jpg
WI,44.7862968,-89.82670490000001,Wisconsin,Grasshopper Cocktail,https://magicskillet.com/wp-content/uploads/2014/10/flying-grasshopper-cocktail-recipe.jpg
WY,43.000325,-107.5545669,Wyoming,White Russian,https://d2lswn7b0fl4u2.cloudfront.net/photos/pg-a-cup-of-coffee-and-cream-1586615284.jpg
