cocktail,measure,ingredient,unit
Vodka Sour,2.0, Vodka,Fl Oz
Apricot Anisette Collins,1.5, Gin,Fl Oz
Alexander's Sister Cocktail,1.0, Dry gin,Fl Oz
Highland Cooler,2.0, Blended Scotch Whiskey,Fl Oz
Alexander Cocktail No. 1,1.0, Gin,Fl Oz
Adam and Eve,1.0, Forbidden Fruit,Fl Oz
Vodka Sling,2.0, Vodka,Fl Oz
Jack Rose Cocktail,1.5, Applejack,Fl Oz
Tempter Cocktail,1.0, Port,Fl Oz
Special Rough Cocktail,1.5, Apple Brandy,Fl Oz
Vodka Grasshopper,0.75, Vodka,Fl Oz
Singapore Sling,0.5, Juice of a Lemon,Fl Oz
Saratoga Cocktail,2.0, Brandy,Fl Oz
High Cotton,2.0, Straight rye whiskey,Fl Oz
Polonaise,1.5, Brandy,Fl Oz
Vodka Gimlet,1.5, Vodka,Fl Oz
Merry Widow Cocktail No. 2,1.25, Maraschino,Fl Oz
Lugger,1.0, Brandy,Fl Oz
Jamaica Hop,1.0, Coffee-flavored brandy,Fl Oz
Hebrides,1.5, Single-malt Scotch whisky,Fl Oz
Hennessy Martini,2.0, Hennessy V.S Cognac,Fl Oz
Vodka Daisy,2.0, Vodka,Fl Oz
Heavenly Dram,2.0, Single-malt Scotch whisky,Fl Oz
Classic Cocktail,0.25, Juice of a Lemon,Fl Oz
Cherry Sling,2.0, cherry-flavored brandy,Fl Oz
Cherry Fizz,0.5, Juice of a Lemon,Fl Oz
Vodka Cooler,2.0, Vodka,Fl Oz
Carrol Cocktail,1.5, Brandy,Fl Oz
Button Hook Cocktail,0.5, Creme de Menthe (White),Fl Oz
Bull's Eye,1.0, Brandy,Fl Oz
Brantini,1.5, Brandy,Fl Oz
Heather's Kiss,2.25, Blended Scotch Whiskey,Fl Oz
Brandy Squirt,1.5, Brandy,Fl Oz
Brandy and Soda,2.0, Brandy,Fl Oz
Brandy Milk Punch,1.0, Powdered Sugar,Fl Oz
Vodka Collins,2.0, Vodka,Fl Oz
Brandy Crusta Cocktail,1.0, Maraschino,Fl Oz
