cocktail,measure,ingredient,unit
Trois Rivieres,1.5, Canadian whisky,Fl Oz
Tovarich Cocktail,1.5, Vodka,Fl Oz
Italian Screwdriver,for glass," Lime wedge, superfine sugar",garnish
T.N.T. Cocktail No. 2,1.0, Tequila,Fl Oz
T.N.T. Cocktail No. 1,1.5, Blended whiskey,Fl Oz
Ibiza,1.0, Orange-flavored vodka,Fl Oz
Thunder,1.0, Powdered Sugar,Fl Oz
Huntsman Cocktail,1.5, Vodka,Fl Oz
Tequila Fizz,2.0, Tequila,Fl Oz
Humpty Dumpty,2.0, Vodka,Fl Oz
Tequila Cocktail,2.0, Tequila,Fl Oz
Temptation Cocktail,1.5, Blended whiskey,Fl Oz
Tchoupitolas Street Guzzle,1.0, Light Rum,Fl Oz
Tahitian Tea,0.5, Gin,Fl Oz
Limey ,1.0, Light Rum,Fl Oz
Headless Horseman,2.0, Vodka,Fl Oz
Love Cocktail,2.0, Sloe gin,Fl Oz
Los Angeles Cocktail,0.5, Juice of a Lemon,Fl Oz
Long Island Tea,0.5, Vodka,Fl Oz
Harvey Wallbanger,1.0, Vodka,Fl Oz
Lime Giant,2.0, Lime Vodka,Fl Oz
Lil Naue,1.0, Brandy,Fl Oz
Harrington,1.5, Vodka,Fl Oz
El Profesor,1.0, Pisco,Fl Oz
Leap Year Cocktail,1.25, Gin,Fl Oz
Lasky Cocktail,0.75, Grape Juice,Fl Oz
Lady Love Fizz,1.0, Powdered Sugar,Fl Oz
Handball Cooler,1.5, Vodka,Fl Oz
Hyatt's Jamaican Banana,0.5, Light Rum,Fl Oz
H.P.W. Cocktail,1.5, Dry Vermouth,Fl Oz
Hot Shot Margarita,2.0, Tequila,Fl Oz
The Groupie,3.0, Lemon wedges,Fl Oz
Hot Brandy Flip,1.0,Whole Egg,garnish
Grape Nehi,1.0, Vodka,Fl Oz
Hole-in-One Cocktai,1.75, Scotch,Fl Oz
Grapefruit Gimlet Royale,1.5, Vodka,Fl Oz
Hair Raiser,1.5, 100-proof Vodka,Fl Oz
Godmother,1.5, Vodka,Fl Oz
Green Opal,0.5, Gin,Fl Oz
Green Hornet (Dry),2.0, Lime Vodka,Fl Oz
Green Fizz,1.0, Powdered Sugar,Fl Oz
Godchild,1.0, Vodka,Fl Oz
Grape Vodka Froth,1.5, Vodka,Fl Oz
Grapefruit Nog,1.5, Brandy,Fl Oz
Golden Slipper,0.75, Yellow Chartreuse,Fl Oz
Golden Freindship,1, Amaretto,garnish
Golden Frappe,1.0, Orange Juice,Fl Oz
Glass Tower,1.0, Vodka,Fl Oz
Golden Fizz,0.5, Juice of a Lemon,Fl Oz
Gloom Lifter,1.0, Blended whiskey,Fl Oz
Glogg,50.6," Wine (Port, Cream Sherry, Claret, Burgundy, or Madeira)",garnish
Georgia Peach,1.5, Vodka,Fl Oz
Georgia Mule,1.0," Peach slice, skinned",Fl Oz
Gentle Ben,1.0, Vodka,Fl Oz
East India Cocktail No. 1,1.5, Brandy,Fl Oz
General Harrison's Eggnog,1.0, Whole Egg,Fl Oz
Gables Collins,1.5, Vodka,Fl Oz
Frozen Brandy and Rum,1.5, Brandy,Fl Oz
Frozen Apple,1.5, Applejack,Fl Oz
Frisky Witch,1.0, Vodka,Fl Oz
Froth Blower Cocktail,1.0, Egg White,Fl Oz
French Martini,1.5, Vodka,Fl Oz
Flatiron Martini,1.0, Splash triple sec,Fl Oz
Favourite Cocktail,0.75, Apricot-Flavored Brandy,Fl Oz
Electric Jam,1.25, Vodka,Fl Oz
Fairy Belle Cocktail,1.0, Egg White,Fl Oz
Duke Cocktail,0.5, Triple Sec,Fl Oz
Dreamy Dorini Smoking Martini,2.0, Vodka,Fl Oz
Dubonnet Highball,2.0, Dubonnet ,Fl Oz
Dubonnet Fizz,0.5, Juice of Orange,Fl Oz
Dubonnet Cocktail,1.5, Dubonnet,Fl Oz
Doctor Cook,0.75, Gin,Fl Oz
Desert Sunrise,1.25, Vodka,Fl Oz
Dillatini,1.5, Gin,Fl Oz
Devil's Cocktail,0.5, Lemon Juice,Fl Oz
Derby Fizz,0.5, Juice of a Lemon,Fl Oz
Cubeltini,3.0, Cucumber slices,Fl Oz
Crocodile Cooler,1.5, Citrus-flavored vodka,Fl Oz
Cosmopolitan,1.5, Vodka,Fl Oz
Dream Cocktail,1.5, Brandy,Fl Oz
Jean Lafitte Cocktail,1.0, Gin,Fl Oz
Japanese Fizz,0.5, Juice of a Lemon,Fl Oz
Citronella Cooler,1.0, Citrus-flavored vodka,Fl Oz
North Pole Cocktail,1.0, Egg White,Fl Oz
The Cinquecento,1.5, Bison grass vodka (Zubrowka),Fl Oz
New Orleans Gin Fizz,0.5, Juice of a Lemon,Fl Oz
Napoleon,2.0, Gin,Fl Oz
Zombie,1.0, Gold rum,Fl Oz
Kiss the Boys Goodbye,0.75, Sloe gin,Fl Oz
X.Y.Z. Cocktail,1.0, Light Rum,Fl Oz
K.G.B. Cocktail,0.5, Kummel,Fl Oz
Eye-Opener,1.0, Egg Yolk,Fl Oz
Wiki Waki Woo,0.5, Light Rum,Fl Oz
Elk's Own Cocktail,1.0, Egg White,Fl Oz
Eggnog Supreme,1.0, Medium Eggs,Fl Oz
Egg Sour,1.0, Whole Egg,Fl Oz
White Lion Cocktail,1.5, Light Rum,Fl Oz
White Lily Cocktail,0.75, Light Rum,Fl Oz
Ice Cream Flip,1.0, Whole Egg,Fl Oz
Outrigger,1.0, Peach-flavored brandy,Fl Oz
Opera Cocktail,1.0, Maraschino,Fl Oz
Virginia Dare,2.0, Ripe pear,Fl Oz
Opening Cocktail,0.5, Grenadine,Fl Oz
Queen Bee,1.5, Lime Vodka,Fl Oz
Van Vleet,3.0, Light Rum,Fl Oz
Zaza Cocktail,1.5, Gin,Fl Oz
The Vacation Cocktail,1.0, Peeled and chopped fresh ginger,Fl Oz
Dolores,1.0," Brandy, preferably Spanish",Fl Oz
Vesuvio,1.0, Light Rum,Fl Oz
Urban Anxiety,1.0, Cachaca,Fl Oz
Virgin,1.0, Gin,Fl Oz
Tropica Cocktail,2.0, Light Rum,Fl Oz
Vermouth Cassis,0.75, Creme de Cassis,Fl Oz
Verboten,1.5, Gin,Fl Oz
Velvet Hammer No. 2,1.5, Strega,Fl Oz
Velvet Hammer No. 1,1.5, Vodka,Fl Oz
Ulanda Cocktail,1.5, Gin,Fl Oz
Torridora Cocktail,1.5, Light Rum,Fl Oz
Boston Sour,0.5, Juice of a Lemon,Fl Oz
Three Miller Cocktail,3.0, Fresh cherry tomatoes,Fl Oz
Bird-of-Paradise Fizz,0.5, Juice of a Lemon,Fl Oz
Biffy Cocktail,0.5, Juice of a Lemon,Fl Oz
Between-The-Sheets Cocktail,0.25, Juice of a Lemon,Fl Oz
Third-Rail Cocktail,0.75, Light Rum,Fl Oz
Bentley,1.5, Apple Brandy,Fl Oz
Tahiti Club,2.0, Light Rum,Fl Oz
Barton Special,0.5, Applejack,Fl Oz
Barnaby's Buffalo Blizzard,1.0, White creme de cacao,Fl Oz
Susie Taylor,2.0, Light Rum,Fl Oz
Baltimore Bracer,1.0, Anisette,Fl Oz
Bachelor's Bait Cocktail,1.5, Gin,Fl Oz
Bushranger,1.5, Light Rum,Fl Oz
Sunset at Gowanus,2.0, Dark rum,Fl Oz
Bulldog Highballl,0.5, Juice of Orange,Fl Oz
Bucks Fizz (Mimosa),2.0, Orange Juice,Fl Oz
Buckjones,1.5, Light Rum,Fl Oz
Stormy Colada,2.0, Dark rum,Fl Oz
Bronx SIlver Cocktail,0.5, Juice of Orange,Fl Oz
Bronx Golden Cocktail,1.0, Gin,Fl Oz
Stone Wall,3 slices,thin Peeled fresh ginger,garnish
Depth Bomb,1.0, Apple Brandy,Fl Oz
Stone Cocktail,1.0, Dry Sherry,Fl Oz
Almeria,1.5, 17-year-old J. Wray and Nephew Ltd. Rum,Fl Oz
Aunt Jemima,0.5, Brandy,Fl Oz
Spanish Town Cocktail,2.0, Light Rum,Fl Oz
Apricot Lady,1.25, Light Rum,Fl Oz
Apricot Anise Collins,1.5, Gin,Fl Oz
Apple Rum Rickey,0.75, Applejack,Fl Oz
Sloppy Joe's Cocktail No. 1,0.75, Light Rum,Fl Oz
Applejack Punch,1.75,Applejack,Fl Oz
Brandy Flip,1.0,Whole Egg,garnish
Sir Walter Cocktail,0.75, Light Rum,Fl Oz
Saxon Cocktail,1.75, Light Rum,Fl Oz
Boston Bullet,1.5, Gin,Fl Oz
Sargasso,2.0, Aged rhum agricole,Fl Oz
Santiago Cocktail,1.5, Light Rum,Fl Oz
Black Velvet,5.0, Chilled Stout,Fl Oz
Saint Lucy Bracer,2.0, Dark rum,Fl Oz
Applecar,1.0, Applejack,Fl Oz
Apple Blow Fizz,1.0, Egg White,Fl Oz
Antoine Special,1.5, Dubonnet,Fl Oz
Ante,1.0, Apple Brandy,Fl Oz
S & V,1.5, Light Rum,Fl Oz
Rum Toddy (Cold),2.0, Light or dark rum,Fl Oz
Deauville Cocktail,0.5, Brandy,Fl Oz
Allies Cocktail,1.0, Dry Vermouth,Fl Oz
Rum Swizzle,2.0, Light or dark rum,Fl Oz
A. J.,1.5, Applejack,Fl Oz
After Supper Cocktail,1.0, Apricot-Flavored Brandy,Fl Oz
Rum Sour,2.0, Light Rum,Fl Oz
Acapulco,1.5, Light Rum,Fl Oz
Absinthe Drip Cocktail,1.5, Anis,Fl Oz
Ambrosia,1.0, Applejack,Fl Oz
Rum Screwdriver,1.5, Light Rum,Fl Oz
Rum Rickey,1.5, Light Rum,Fl Oz
Scotch Cocktail,0.5, Old Mr. Boston Creme de Menthe (White),Fl Oz
Rum Relaxer,1.5, Light Rum,Fl Oz
Rum Old-Fashioned,1.5, Light Rum,Fl Oz
Rum Martini,2.0, Light Rum,Fl Oz
Rum Highball,2.0, Light or dark rum,Fl Oz
Rum Fix,2.5, Light Rum,Fl Oz
Rum Daisy,2.0, Light Rum,Fl Oz
D'artagnan,1.0, Armagnac,Fl Oz
Rum Cooler,2.0, Light Rum,Fl Oz
Rum Collins,2.0, Light Rum,Fl Oz
Seaboabd,1.0, Old Mr. Boston Blended Whiskey,Fl Oz
Rum Cobbler,2.0, Light Rum,Fl Oz
Robson Cocktail,1.5, Jamaica Rum,Fl Oz
Rio Fix,2.0, Absinthe or pastis,Fl Oz
Ringo Starr,3.0, Red grapes,Fl Oz
Restless Native,2.0, Coconut rum,Fl Oz
Quarter Deck Cocktail,1.5, Light Rum,Fl Oz
Quaker's Cocktail,0.75, Light Rum,Fl Oz
Puerto Rican Rum Daisy,1.5, Dark rum,Fl Oz
Cuban Cocktail No. 2,1.5, Brandy,Fl Oz
Prohibition Punch,1.5, Dark rum,Fl Oz
Prairie Oyster Cocktail,1.0, Old Mr. Boston Five Star Brandy,Fl Oz
Poker Cocktail,1.5, Light Rum,Fl Oz
Planter's Punch No. 2,2.0, Light Rum,Fl Oz
Planter's Punch No. 1,2.5, Light Rum,Fl Oz
Planter's Cocktail,1.5, Jamaica Rum,Fl Oz
Pink Paradise,1.5, Coconut-flavored rum,Fl Oz
Pink Creole,1.5, Light Rum,Fl Oz
Pineapple Fizz,2.0, Light Rum,Fl Oz
Pineapple Cocktail,1.5, Light Rum,Fl Oz
Pearl Button,2.0, Cachaca (Brazilian rum),Fl Oz
The Crux,0.75, Dubonnet,Fl Oz
Paris When It Sizzles,0.75, Elderflower liqueur,Fl Oz
Palmetto Cocktail,1.5, Light Rum,Fl Oz
Paddington,1.0, Absinthe,Fl Oz
The Old Cuban,6 fresh, mint leaves,garnish
"Oh, Gosh!",1.5, Light Rum,Fl Oz
Night Cap,2.0, Light Rum,Fl Oz
New Orleans Buck,1.5, Light Rum,Fl Oz
Nevada Cocktail,1.5, Light Rum,Fl Oz
Moonquake Shake,1.5, Dark rum,Fl Oz
Monkey Wrench,1.5, Light Rum,Fl Oz
Creme De Cafe,1.0, Coffee-flavored brandy,Fl Oz
Margarita,1.5, Blanco tequila,Fl Oz
Mojito,3.0, Lime wedges,Fl Oz
Champagne Flamingo,0.75, Vodka,Fl Oz
Thunder and Lightning Cocktail,1.0, Egg Yolk,Fl Oz
Casco Bay Lemonade,1.5, Citrus-flavored vodka,Fl Oz
Caribbean Cruise,1.0, Vodka,Fl Oz
Cappuccino Cocktail,0.75, Vodka,Fl Oz
Cape Codder,1.5, Vodka,Fl Oz
Baltimore Bracer Cocktail,1.0, Old Mr. Boston Anisette ,Fl Oz
Caesar,for glass," Lemon wedge, celery salt",garnish
Bull Shot,1.5, Vodka,Fl Oz
Bullfrog,1.5, Vodka,Fl Oz
Boston Gold,1.5, Vodka,Fl Oz
Corpse Reviver No. 1,2.0, Cognac,Fl Oz
Thanksgiving Special Cocktail,0.75, Old Mr. Boston Apricot Flavored Brandy,Fl Oz
Tequini Cocktail,1.5, Old Mr. Boston Tequila,Fl Oz
Bordeaux Cocktail,1.5, Citrus-flavored vodka,Fl Oz
Bolshoi Punch,1.0, Vodka,Fl Oz
Blue Lagoon,1.0, Vodka,Fl Oz
Stinger Cocktail,0.5, Old Mr. Boston White Creme de Menthe,Fl Oz
Bloody Mary,1.5, Vodka,Fl Oz
Spritzer Highball,3.0, chilled Rhine wine or Sauterne,Fl Oz
Bloody Bull,1.0, Vodka,Fl Oz
The Blood Orange,2.0, Orange-flavored vodka,Fl Oz
Black Russian,1.5, Vodka,Fl Oz
Black Magic,1.5, Vodka,Fl Oz
Black Cherry Chocolate,1.25, Black cherry-flavored vodka,Fl Oz
Victor Collins,1.5, Old Mr. Boston Vodka,Fl Oz
Snowball Cocktail,1.5, Old Mr. Boston Dry Gin,Fl Oz
Violet Fizz,0.5, Juice of a Lemon,Fl Oz
Bikini,1.0, Vodka,Fl Oz
Cold Deck Cocktail,1.0, Brandy,Fl Oz
The Big Crush,1.0, Raspberry-flavored vodka,Fl Oz
Bianca,for glass," Lime wedge, superfine sugar",garnish
Bella Fragolia,1.0," Strawberry, chopped",Fl Oz
Beer Buster,1.5, Vodka,Fl Oz
Basil 8,3.0, Fresh basil leaves,Fl Oz
Shamrock Cocktail,1.5, Irish Whiskey,Fl Oz
Aqueduct,1.5, Vodka,Fl Oz
Scotch Whisky Highball,2.0, Desmond & Duff Scotch Whisky,Fl Oz
Alfie Cocktail,1.5, lemon-flavored vodka,Fl Oz
Admiral Perry,2.0, Pear-flavored vodka,Fl Oz
Yellow Rose Of Texas,2.0, Blanco tequila,Fl Oz
St. Patrick's Day Cocktail,0.75, Old Mr. Boston Green Creme de Menthe,Fl Oz
Purple Twister,2.0, Old Mr. Boston Grape Vodka,Fl Oz
Waiting On Summer,3.0, Cucumber,Fl Oz
Cognac Highball,2.0, Cognac,Fl Oz
Prince's Smile Cocktail,0.5, Old Mr. Boston Apricot Flavored Brandy,Fl Oz
Viva Villa,for glass," Lime wedge, coarse salt",garnish
Praire Oyster Cocktail,1.0, Old Mr. Boston Five Star Brandy,Fl Oz
Praire Chicken,1.0, Old Mr. Boston Dry Gin,Fl Oz
Venial Sin,1.5, Blanco tequila,Fl Oz
Vagabundo,2.0, Reposado blanco tequila,Fl Oz
The 21st Century,splash,Absinthe,garnish
Pollyanna Cocktail,3 slices,orange peel,garnish
Toreador,1.5, Blanco tequila,Fl Oz
Pink Squirrel Cocktail,1.0, Mr. Boston Creme de Noyaux ,Fl Oz
Pink Lady Cocktail,1.0, Egg White,Fl Oz
Tijuana Taxi,2.0, Gold tequila,Fl Oz
Tia Juanathan,1.5, Blanco tequila,Fl Oz
Phoebe Snow Cocktail,1.5, Dubonnet,Fl Oz
Tequonic,2.0, Blanco tequila,Fl Oz
Tequini,1.5, Blanco tequila,Fl Oz
Passion Daiquiri Cocktail,1.5, Old Mr. Boston Rum,Fl Oz
Parisian Blonde Cocktail,0.75, Sweet Cream,Fl Oz
Tequila Sunrise,2.0, Blanco tequila,Fl Oz
Coffee Grasshopper,0.75, Coffee-flavored brandy,Fl Oz
Tequila Straight,1.0, Coarse salt,Fl Oz
Tequila Sour,2.0, Blanco tequila,Fl Oz
Tequila Smash,4.0, Blueberries,Fl Oz
Tequila Pink,1.5, Blanco tequila,Fl Oz
Tequila Old-Fashioned,1.5, Blanco tequila,Fl Oz
Rob Roy Cocktail,0.75, Sweet Vermouth,Fl Oz
Tequila Mockingbird,for glass," Lime wedge, coarse salt",garnish
Tequila Matador,1.5, Blanco tequila,Fl Oz
Tequila Manhattan,2.0, Blanco tequila,Fl Oz
T.N.T. Cocktail,1.5, Old Thompson Blended Whiskey,Fl Oz
Thunderclap Cocktail,0.75, Old Mr. Boston Dry Gin,Fl Oz
Thunder Cocktail,1.0, Powdered Sugar,Fl Oz
Tequila Collins,2.0, Blanco tequila,Fl Oz
White Lady Cocktail,1.0, Egg White,Fl Oz
Tequila Canyon,1.5, Blanco tequila,Fl Oz
Chicago Cocktail,for glass," Lemon wedge, superfine sugar",garnish
Sunday Confession,1.0, Blanco tequila,Fl Oz
Strawberry Margarita,for glass," Lime wedge, superfine sugar or coarse salt (optional)",garnish
Western Rose Cocktail,0.5, Old Mr. Boston Apricot Flavored Brandy,Fl Oz
Widow's Kiss Cocktail,1.0, Old Mr. Boston Five Star Brandy,Fl Oz
Spice Of Life,3.0, Cucumber,Fl Oz
Widow's Dream Cocktail,1.5, Benedictine,Fl Oz
Vodka Gypsy Cocktail,1.5, Old Mr. Boston Vodka,Fl Oz
South Of The Border,1.0, Blanco tequila,Fl Oz
Vodka Grasshopper Cocktail,0.75, Old Mr. Boston Vodka,Fl Oz
Violet Fizz Juice,0.5, Juice of a Lemon,Fl Oz
Smoked Margarita,0.5," Smoky Scotch whisky, such as Islay or Skye",Fl Oz
Sloe Tequila,1.0, Blanco tequila,Fl Oz
Queen Elizabeth Cocktail,1.5, Old Mr. Boston Dry Gin,Fl Oz
Silk Stockings,1.5, Blanco tequila,Fl Oz
Orchid Cocktail,2.0, Old Mr. Boston Dry Gin,Fl Oz
Orange Milk Fizz,0.5, Juice of a Lemon,Fl Oz
Orange Gin Rickey,0.5, Juice of a Lime,Fl Oz
Orange Gin Highball,2.0, Old Mr. Boston Orange Flavored Gin ,Fl Oz
Orange Gin Fizz,0.5, Juice of a Lemon,Fl Oz
Orange Gin Collins,0.5, Juice of a Lemon,Fl Oz
Sidewinder,1.5, Reposado tequila,Fl Oz
Orange Blossom Cocktail,1.0, Old Mr. Boston Dry Gin,Fl Oz
Shady Lady,1.0, Blanco tequila,Fl Oz
Cherry Blossom,1," Cherry-flavored brandy, superfine sugar",garnish
The Sfozando,1.0, Mezcal,Fl Oz
Napoleon Cocktail,2.0, Old Mr. Boston Dry Gin,Fl Oz
Moulin Rouge Cocktail,1.5, Old Mr. Boston Sloe Gin,Fl Oz
Sea Of Cortez,1.5, Blanco tequila,Fl Oz
Satin Sheets,1.5, Blanco tequila,Fl Oz
Santana Sling,1.5, Reposado tequila,Fl Oz
Rosita,1.5, Blanco tequila,Fl Oz
Mariposa Cocktail,1.0, Old Mr. Boston Rum,Fl Oz
Margarita Cocktail,1.5, Old Mr. Boston Tequila,Fl Oz
The Refuge,1.5, Blanco tequila,Fl Oz
Manhattan Cocktail (dry),0.75, Dry Vermouth,Fl Oz
Mamie Taylor,0.5, Juice of a Lime,Fl Oz
Quetzalcoatl,1.0, Blanco tequila,Fl Oz
Zero Mint,2.0, Mr. Boston Creme de menthe,Fl Oz
Purple Pancho,for glass," Lime wedge, superfine sugar",garnish
Midnight Express,1.5, Dark rum,Fl Oz
London Special Cocktail,1,orange peel,garnish
Mary Pickford Cocktail,1.5, Light Rum,Fl Oz
Charles Cocktail,1.5, Brandy,Fl Oz
Martinique Rose,2.0, Aged rhum agricole,Fl Oz
Mariposa,1.0, Light Rum,Fl Oz
Mandeville,1.5, Light Rum,Fl Oz
K.C.B. Cocktail,0.5, Old Mr. Boston Kummel,Fl Oz
Malmaison,1, Anisette,garnish
Mai-Tai (Trader Vic Version),2.0," Dark rum, preferably Jamaican",Fl Oz
Jersey Lightning Cocktail,1.5, Apple Brandy,Fl Oz
Lumination,2.0, Fresh ginger,Fl Oz
Jamaica Glow Cocktail,1.0, Old Mr. Boston Dry Gin,Fl Oz
Lounge Lizard,1.0, Dark rum,Fl Oz
Jack-in-the-Box Cocktail,1.0, Apple Brandy,Fl Oz
Irish Whisky Cocktail,0.5, Old Mr. Boston Triple Sec,Fl Oz
Look Out Below,1.5, 151-Proof Rum,Fl Oz
Little Princess Cocktail,1.5, Light Rum,Fl Oz
Little Devil Cocktail,0.75, Light Rum,Fl Oz
Champs Elysees Cocktail,1.0, Brandy,Fl Oz
Hop Toad Cocktail ,0.5, Juice of a Lime,Fl Oz
Level headed Cocktail,1.5, Aged rhum agricole,Fl Oz
La Vita Dulce,1.5, Spiced rum,Fl Oz
Hole-in-One Cocktail,1.75, Desmond & Duff Scotch Whisky,Fl Oz
Ko Adang,2.0, Dark rum,Fl Oz
Knickerbocker Special Cocktail,2.0, Light Rum,Fl Oz
Hair Raiser Cocktail,1.5, Old Mr. Boston 100 proof Vodka,Fl Oz
Green Opal Cocktail,0.5, Old Mr. Boston Dry Gin,Fl Oz
Jamaican Ginger,1.5, Light Rum,Fl Oz
Green Dragon Cocktail,0.5, Juice of a Lemon,Fl Oz
Grasshopper Cocktail,0.75, Old Mr. Boston Green Creme de Menthe,Fl Oz
Jamaican Crawler,1.0, Light Rum,Fl Oz
Golden Slipper Cocktail,0.75, Yellow Chartreuse,Fl Oz
Jade,1.5, Light Rum,Fl Oz
Jacqueline,2.0, Dark rum,Fl Oz
Jack Sparrow Flip,2.0, Dark rum,Fl Oz
Irresistible,1.5, Light Rum,Fl Oz
Carroll Cocktail,1.5, Brandy,Fl Oz
Hush and Wonder,1.0, Creme de violette,Fl Oz
Hurricane Leah,0.25," each Light Rum, Gin, Vodka, Blanco tequila, Blue curacao",Fl Oz
Gimlet Cocktail,1.0, Rose's Lime Juice,Fl Oz
Hurricane,1.5," each Dark rum, light rum",Fl Oz
Hop Toad,0.75, Light Rum,Fl Oz
The Holy Roller,1.5, Cachaca,Fl Oz
Hemingway's Nog,1.5, Dark rum,Fl Oz
Flying Scotchman Cocktail,1.0, Sweet Vermouth,Fl Oz
Flying Grasshopper Cocktail,0.75, Old Mr. Boston Green Creme de Menthe,Fl Oz
Havana Cocktail,0.75, Light Rum,Fl Oz
Harvest Nectar,1.5, Light Rum,Fl Oz
Fancy Brandy Cocktail,2.0, Old Mr. Boston Five Star Brandy,Fl Oz
Fallen Angel Cocktail,1.0, Juice of a Lime,Fl Oz
The Poncho,2.0, Reposado tequila,Fl Oz
Hai Karate,2.0, Dark rum,Fl Oz
Cara Sposa,1.0, Coffee-flavored brandy,Fl Oz
Traditional Martini (Dry),1.0, Gin,Fl Oz
Pina Agave,2.0, Cucumber,Fl Oz
Grande Guignol,1.5, Dark rum,Fl Oz
Pancho Villa,1.0, Anejo tequila,Fl Oz
Paloma (Natural),2.0, Blanco tequila,Fl Oz
Golden Friendship,1.0, Light Rum,Fl Oz
Paloma,2.0, Blanco tequila,Fl Oz
Pacific Sunshine,for glass," Lemon wheel, coarse salt",garnish
Golden Eclipse,1.5, Dark rum,Fl Oz
Diplomat Cocktail,1.5, Dry Vermouth,Fl Oz
Oldest Temptation,2.0, Anejo tequila,Fl Oz
Ginger Grapefruit Rickey,2.0, Light Rum,Fl Oz
Calvados Cocktail,1.5, Calvados,Fl Oz
Daiquiri Cocktail,1.0, Juice of a Lime,Fl Oz
The Oaxaca Old-Fashioned,1.5, Reposado tequila,Fl Oz
Cuban Special Cocktail,1.0, Pineapple Juice,Fl Oz
Gaugin,2.0, Light Rum,Fl Oz
The Nomad South,2.0, Blanco tequila,Fl Oz
Creole Lady Cocktail,1.5, Old Kentucky Tavern Bourbon Whiskey,Fl Oz
No. 8,2.0, Reposado tequila,Fl Oz
Fog Cutter,1.5, Light Rum,Fl Oz
Mexicola,2.0, Blanco tequila,Fl Oz
Floridita No. 3,2.0, Light Rum,Fl Oz
Mexican Monk,2.0, Reposado tequila,Fl Oz
Floridita No. 1,1.5, Light Rum,Fl Oz
Mexican Madras,1.5, Blanco tequila,Fl Oz
Cadiz,0.25, Blackberry-flavored brandy,Fl Oz
Chocolate Soldier Cocktail,0.5, Juice of a Lime,Fl Oz
Fireman's Sour,2.0, Light Rum,Fl Oz
Fat Like Buddha,2.0, Dark rum,Fl Oz
Cherry Blossom Cocktail,1.5, Old Mr. Boston Five Star Brandy,Fl Oz
Fair-and-Warmer Cocktail,1.5, Light Rum,Fl Oz
Chelsea Sidecar Cocktail,0.25, Juice of a Lemon,Fl Oz
Mexican Firing Squad,2.0, Blanco tequila,Fl Oz
Mexicana,0.5, Blanco tequila,Fl Oz
El Presidente Cocktail No. 2,1.5, Light Rum,Fl Oz
Margarita Tequila,1," Lime wedge, coarse salt",garnish
Lillypad,1.5, Blanco tequila,Fl Oz
X. Y. Z. Cocktail,1.0, Lemon Juice,Fl Oz
La Ultima Palabra,0.75, Blanco tequila,Fl Oz
La Perla,1.5, Reposado tequila,Fl Oz
Bull's Milk,1.5, Brandy,Fl Oz
La Bomba,1," Lime wedge, superfine sugar",garnish
Jinx Cocktail,1.0, Blanco tequila,Fl Oz
The Interesting Cocktail,2.0, Blanco tequila,Fl Oz
Hot Pants,1," Lime wedge, coarse salt",garnish
High Plains Drifter No. 1,1.0, Campari,Fl Oz
Hairy Sunrise,0.75, Blanco tequila,Fl Oz
Guadalajara,2.0, Blanco tequila,Fl Oz
Frostbite,1.0, Blanco tequila,Fl Oz
Flower Power,2.0, Blanco tequila,Fl Oz
Cablegram Highball,0.5, Juice of a Lemon,Fl Oz
Cabaret Cocktail,1.5, Old Mr. Boston Dry Gin,Fl Oz
Bulla's Eye,1.0, Brandy,Fl Oz
El Oso (The Bear),1.75,Anejo tequila,Fl Oz
El Ni_o,6.0,Lime wedges,garnish
El Molino,1.5, Mezcal,Fl Oz
Bucks Fizz,2.0, orange juice,Fl Oz
Dirty Daisy,1.5, Reposado tequila,Fl Oz
Diablo,1.5, Blanco tequila,Fl Oz
Count Camillo's Paloma,0.75, Blanco tequila,Fl Oz
Company B,1.0," Whole strawberry, hulled",Fl Oz
Chupa Cabra,2.0, Blanco tequila,Fl Oz
Chinchona,1.5, Anejo tequila,Fl Oz
Chapala,1.5, Reposado tequila,Fl Oz
Bulldog Cocktail,1.5, cherry-flavored brandy,Fl Oz
Boston Sidecar Cocktail,0.75, Old Mr. Boston Five Star Brandy,Fl Oz
Catalina Margarita,1.5, Blanco tequila,Fl Oz
Camino Del Ray,1.75, Anejo tequila,Fl Oz
Cactus Berry,1, Lime wedge coarse salt,garnish
Bolero Cocktail,1.5, Old Mr. Boston Rum,Fl Oz
Bum's Rush,1.5, Blanco tequila,Fl Oz
Brave Bull,1.5, Blanco tequila,Fl Oz
Blue Margarita,for glass," Lime juice, coarse salt",garnish
Bloody Maria,1.0, Blanco tequila,Fl Oz
Pineapple Dream Cocktail,0.5, Pineapple Juice,Fl Oz
Big Red Hooter,1.0, Blanco tequila,Fl Oz
Blood Bronx Cocktail,1.5, Old Mr. Boston Dry Gin,Fl Oz
Bravo,2.0, Anejo tequila,Fl Oz
Amante Picante,2.0, Cucumber,Fl Oz
Brunswick Street Cocktail,1.5, Cognac,Fl Oz
Black Hawk Cocktail,1.25, Old Thompson Blended Whiskey,Fl Oz
Alamo Splash,1.5, Blanco tequila,Fl Oz
Betsy Ross Cocktail,1.5, Old Mr. Boston Five Star Brandy,Fl Oz
Bermuda Rose Cocktail,1.25, Old Mr. Boston Dry Gin,Fl Oz
Yokahama Romance,2.5, Sake,Fl Oz
Yale Cocktail,1.5, Gin,Fl Oz
Xanthia Cocktail,0.75, Gin,Fl Oz
Woodstock,1.5, Gin,Fl Oz
Wolf's Bite,1.5, Gin,Fl Oz
