state, cocktail,Image URL
Alabama,Hurricane,https://images.fineartamerica.com/images-medium-large-5/squirrels-at-cocktail-hour-peggy-collins.jpg
Alaska,Boston Sour,https://images.fineartamerica.com/images-medium-large-5/squirrels-at-cocktail-hour-peggy-collins.jpg
Arizona,Count Camillo's Paloma,https://images.fineartamerica.com/images-medium-large-5/squirrels-at-cocktail-hour-peggy-collins.jpg
Arkansas,Daiquiri,https://images.fineartamerica.com/images-medium-large-5/squirrels-at-cocktail-hour-peggy-collins.jpg
California,Count Camillo's Paloma,https://images.fineartamerica.com/images-medium-large-5/squirrels-at-cocktail-hour-peggy-collins.jpg
Colorado,Hurricane,https://images.fineartamerica.com/images-medium-large-5/squirrels-at-cocktail-hour-peggy-collins.jpg
Connecticut,Margarita,https://images.fineartamerica.com/images-medium-large-5/squirrels-at-cocktail-hour-peggy-collins.jpg
Delaware,Screwdriver,https://images.fineartamerica.com/images-medium-large-5/squirrels-at-cocktail-hour-peggy-collins.jpg
District of Columbia,Fancy Whiskey,https://images.fineartamerica.com/images-medium-large-5/squirrels-at-cocktail-hour-peggy-collins.jpg
Florida,Daiquiri,https://images.fineartamerica.com/images-medium-large-5/squirrels-at-cocktail-hour-peggy-collins.jpg
Georgia,Georgia Peach,https://images.fineartamerica.com/images-medium-large-5/squirrels-at-cocktail-hour-peggy-collins.jpg
Hawaii,Lemon Drop,https://images.fineartamerica.com/images-medium-large-5/squirrels-at-cocktail-hour-peggy-collins.jpg
Idaho,Cosmopolitan,https://images.fineartamerica.com/images-medium-large-5/squirrels-at-cocktail-hour-peggy-collins.jpg
Illinois,Manhattan Cocktail (dry),https://images.fineartamerica.com/images-medium-large-5/squirrels-at-cocktail-hour-peggy-collins.jpg
Indiana,Lemon Drop,https://images.fineartamerica.com/images-medium-large-5/squirrels-at-cocktail-hour-peggy-collins.jpg
Iowa,Cosmopolitan,https://images.fineartamerica.com/images-medium-large-5/squirrels-at-cocktail-hour-peggy-collins.jpg
Kansas,Screwdriver,https://images.fineartamerica.com/images-medium-large-5/squirrels-at-cocktail-hour-peggy-collins.jpg
Kentucky,Mint Julep (Southern Style),https://images.fineartamerica.com/images-medium-large-5/squirrels-at-cocktail-hour-peggy-collins.jpg
Louisiana,Hurricane,https://images.fineartamerica.com/images-medium-large-5/squirrels-at-cocktail-hour-peggy-collins.jpg
Maine,Margarita,https://images.fineartamerica.com/images-medium-large-5/squirrels-at-cocktail-hour-peggy-collins.jpg
Maryland,Bloody Mary,https://images.fineartamerica.com/images-medium-large-5/squirrels-at-cocktail-hour-peggy-collins.jpg
Massachusetts,Fancy Whiskey,https://images.fineartamerica.com/images-medium-large-5/squirrels-at-cocktail-hour-peggy-collins.jpg
Michigan,Cosmopolitan,https://images.fineartamerica.com/images-medium-large-5/squirrels-at-cocktail-hour-peggy-collins.jpg
Minnesota,Bloody Mary,https://images.fineartamerica.com/images-medium-large-5/squirrels-at-cocktail-hour-peggy-collins.jpg
Mississippi,Long Island Iced Tea,https://images.fineartamerica.com/images-medium-large-5/squirrels-at-cocktail-hour-peggy-collins.jpg
Missouri,Moscow Mule,https://images.fineartamerica.com/images-medium-large-5/squirrels-at-cocktail-hour-peggy-collins.jpg
Montana,Moscow Mule,https://images.fineartamerica.com/images-medium-large-5/squirrels-at-cocktail-hour-peggy-collins.jpg
Nebraska,Fancy Whiskey,https://images.fineartamerica.com/images-medium-large-5/squirrels-at-cocktail-hour-peggy-collins.jpg
Nevada,Grasshopper Cocktail,https://images.fineartamerica.com/images-medium-large-5/squirrels-at-cocktail-hour-peggy-collins.jpg
New Hampshire,Fancy Whiskey,https://images.fineartamerica.com/images-medium-large-5/squirrels-at-cocktail-hour-peggy-collins.jpg
New Jersey,Manhattan Cocktail (dry),https://images.fineartamerica.com/images-medium-large-5/squirrels-at-cocktail-hour-peggy-collins.jpg
New Mexico,Fancy Whiskey,https://images.fineartamerica.com/images-medium-large-5/squirrels-at-cocktail-hour-peggy-collins.jpg
