name,glass,glass-size,instructions
Moscow Mule,Beer Mug,10 to 12 ounces,Pour vodka and lime juice into copper Moscow Mule mug or standard beer mug. Add ice cubes and fill with ginger beer. Squeeze lime wedge and add to glass.
Phoebe Snow,Cocktail Glass,6 or more ounces,Stir with ice and strain into cocktail glass.
Affinity Cocktail,Cocktail Glass,6 or more ounces,Stir with ice and strain into chilled cocktail glass.
Peggy Cocktail,Cocktail Glass,6 or more ounces,Stir with ice and strain into cocktail glass.
Peach Blow Fizz,Highball Glass,7 to 10 ounces,Shake with ice and strain into highball glass over ice cubes. Fill with carbonated water and stir.
Peach Blossom,Highball Glass,7 to 10 ounces,Shake with ice and strain into highball glass over ice cubes. Fill with carbonated water and stir.
Passion Mimosa,Champagne Flute,6 to 8 ounces,"Pour chilled juice into champagne flute, fill with chilled champagne. Garnish with strawberry."
Mocha Express,Cocktail Glass,6 or more ounces,Shake with ice and strain into chilled cocktail glass.
Palmer Cocktail,Cocktail Glass,6 or more ounces,Stir with ice and strain in cocktail glass.
Mr. 404,Cocktail Glass,6 or more ounces,Shake with ice and strain into chilled cocktail glass. Add orange twist.
Mountain Cocktail,Cocktail Glass,6 or more ounces,Shake with ice and strain into cocktail glass.
Morning Glory Fizz,Highball Glass,7 to 10 ounces,Shake with ice and strain into highball glass over two ice cubes. Fill with carbonated water and stir.
Adderly Cocktail,Cocktail Glass,6 or more ounces,Shake with ice and strain into cocktail glass. Flame orange twist and add.
Fancy Brandy,Cocktail Glass,6 or more ounces,Shake with ice and strain into chilled cocktail glass. Add lemon twist.
Montreal Gin Sour,Sour Glass,5 to 6 ounces,Shake with ice and strain into sour glass. Add a slice of lemon.
Montezuma,Champagne Flute,6 to 8 ounces,Mix in blender at low speed and serve in champagne flute.
Miss Jones,Cocktail Glass,6 or more ounces,Shake with ice and strain into chilled cocktail glass. Garnish with star anise.
Mint Gin Cocktail,Cocktail Glass,6 or more ounces,Stir with ice and strain into cocktail glass.
Mint Collins,Collins Glass,14 to 16 ounces,"Shake with ice and strain into collins glass. Add several ice cubes, fill with carbonated water, and stir. Decorate with slices of lemon and orange, and a cherry. Serve with straws."
Million-Dollar Cocktail,Cocktail Glass,6 or more ounces,Shake with ice and strain into cocktail glass.
