name,glass,glass-size,instructions
Kiss the Boys Goodbye,Cocktail Glass,6 or more ounces,Shake with ice and strain into cocktail glass.
X.Y.Z. Cocktail,Cocktail Glass,6 or more ounces,Shake with ice and strain into chilled cocktail glass.
K.G.B. Cocktail,Cocktail Glass,6 or more ounces,Shake with ice and strain into cocktail glass. Add a twist of lemon peel.
Eye-Opener,Sour Glass,5 to 6 ounces,Shake with ice and strain into sour glass.
Wiki Waki Woo,Hurricane Glass,14 to 20 ounces,"Stir all ingredients with ice. Pour, with ice, into hurricane or parfait glass. Add orange and cherry."
Elk's Own Cocktail,Cocktail Glass,6 or more ounces,Shake with ice and strain into cocktail glass. Add a strip of pineapple.
Eggnog Supreme,Punch Cup,3 to 4 ounces,"Separate eggs; beat yolks in large serving bowl, adding sugar while beating. Stir in milk and cream. Slowly add cognac and refrigerate for 1 hour. Before serving, whip egg whites stiff. Mix into eggnog, dust with nutmeg."
Egg Sour,Old-Fashioned Glass,6 to 8 ounces,Shake with ice and strain into old-fashioned glass.
White Lion Cocktail,Cocktail Glass,6 or more ounces,Shake with ice and strain into chilled cocktail glass.
White Lily Cocktail,Cocktail Glass,6 or more ounces,Shake with ice and strain into chilled cocktail glass.
Ice Cream Flip,Sour Glass,5 to 6 ounces,Shake with ice and strain into sour glass. Sprinkle a little nutmeg on top.
Outrigger,Old-Fashioned Glass,6 to 8 ounces,Shake with ice and strain into old-fashioned glass over ice cubes.
Opera Cocktail,Cocktail Glass,6 or more ounces,Stir with ice and strain into cocktail glass.
Virginia Dare,Cocktail Glass,6 or more ounces,Muddle 1 pear slice in mixing glass. Add remaining ingredients. Shake with ice and strain through a fine wire sieve into chilled cocktail glass. Garnish with remaining pear slice.
Opening Cocktail,Cocktail Glass,6 or more ounces,Stir with ice and strain into cocktail glass.
Queen Bee,Cocktail Glass,6 or more ounces,Shake with ice and strain into cocktail glass.
Van Vleet,Old-Fashioned Glass,6 to 8 ounces,Shake with ice and strain into ice-filled old-fashioned glass.
Zaza Cocktail,Cocktail Glass,6 or more ounces,Stir with ice and strain into cocktail glass. Add a twist of orange peel.
The Vacation Cocktail,Cocktail Glass,6 or more ounces,"Muddle ginger, lime juice, and syrup in mixing glass. Add all but spiced rum. Shake with ice. Strain into chilled cocktail glass and float spiced rum on top. Garnish with mango."
Dolores,Champagne Flute,6 to 8 ounces,Shake without ice. shake with ice and strain into a chilled champagne flute. Top with nutmeg.
Vesuvio,Old-Fashioned Glass,6 to 8 ounces,Shake with ice and strain into old-fashioned glass over ice cubes.
Urban Anxiety,Cocktail Glass,6 or more ounces,Stir with ice and strain into chilled cocktail glass. Flame grapefruit twist and add.
Virgin,Cocktail Glass,6 or more ounces,Shake with ice and strain into cocktail glass.
Tropica Cocktail,Collins Glass,14 to 16 ounces,Mix ingredients in ice-filled Collins glass. Add pineapple wedge.
Vermouth Cassis,Highball Glass,7 to 10 ounces,Stir in highball glass with ice cubes and Fill with carbonated water. Stir again and serve.
Verboten,Cocktail Glass,6 or more ounces,Shake with ice and strain into cocktail glass. Add brandied cherry.
Velvet Hammer No. 2,Cocktail Glass,6 or more ounces,Shake with ice and strain into cocktail glass.
Velvet Hammer No. 1,Cocktail Glass,6 or more ounces,Shake with ice and strain into cocktail glass.
Ulanda Cocktail,Cocktail Glass,6 or more ounces,Stir with ice and strain into cocktail glass.
Torridora Cocktail,Cocktail Glass,6 or more ounces,Shake first three ingredients with ice and strain into chilled cocktail glass. Float 151-proof rum on top.
Boston Sour,Sour Glass,5 to 6 ounces,Shake with cracked ice and strain into sour glass. Add a slice of lemon and a cherry.
Three Miller Cocktail,Cocktail Glass,6 or more ounces,Muddle tomatoes in mixing glass. Add remaining ingredients. Shake with ice and strain into chilled cocktail glass.
Bird-of-Paradise Fizz,Highball Glass,7 to 10 ounces,Shake with ice and strain into highball glass over two ice cubes. Fill with carbonated water.
Biffy Cocktail,Cocktail Glass,6 or more ounces,Shake with ice and strain into cocktail glass.
Between-The-Sheets Cocktail,Cocktail Glass,6 or more ounces,Shake with ice and strain into cocktail glass.
Third-Rail Cocktail,Cocktail Glass,6 or more ounces,Shake with ice and strain into chilled cocktail glass.
Bentley,Cocktail Glass,6 or more ounces,Stir with cracked ice and strain into cocktail glass. Add a twist of lemon peel.
Tahiti Club,Old-Fashioned Glass,6 to 8 ounces,Shake with ice and strain into ice-filled old-fashioned glass. Add lemon.
Barton Special,Old-Fashioned Glass,6 to 8 ounces,Shake with ice and strain into old-fashioned glass over ice cubes.
Barnaby's Buffalo Blizzard,Collins Glass,14 to 16 ounces,Shake or blend. Serve in a collins glass.
Susie Taylor,Collins Glass,14 to 16 ounces,Pour rum and lime juice into ice-filled Collins glass. Fill with ginger ale and stir.
Baltimore Bracer,Cocktail Glass,6 or more ounces,Shake with ice and strain into cocktail glass.
Bachelor's Bait Cocktail,Cocktail Glass,6 or more ounces,Shake with ice and strain into cocktail glass.
Bushranger,Cocktail Glass,6 or more ounces,Stir with cracked ice and strain into cocktail glass.
Sunset at Gowanus,Cocktail Glass,6 or more ounces,Shake with ice and strain into chilled cocktail glass.
Bulldog Highballl,Highball Glass,7 to 10 ounces,Pour into highball glass over ice cubes and fill with ginger ale. Stir.
Bucks Fizz (Mimosa),Collins Glass,14 to 16 ounces,"Pour 2 oz. orange juice in a collins glass over two cubes of ice, fill with Chilled Champagne, and stir very gently."
Buckjones,Highball Glass,7 to 10 ounces,Pour ingredients into highball glass over ice cubes and stir. Fill with ginger ale.
Stormy Colada,Highball Glass,7 to 10 ounces,Add rum and pineapple juice to ice-filled highball glass. Fill with ginger beer and stir. Add skewered garnish.
Bronx SIlver Cocktail,Sour Glass,5 to 6 ounces,Shake with ice and strain into sour glass.
Bronx Golden Cocktail,Sour Glass,5 to 6 ounces,Same as Bronx Cocktail with the addition of one egg yolk. Use sour glass.
Stone Wall,Old-Fashioned Glass,6 to 8 ounces,Muddle ginger and syrup in mixing glass. Add cider and rum and shake with ice. Strain into ice-filled old-fashioned glass and fill with ginger beer. Add apple and lime.
Depth Bomb,Old-Fashioned Glass,6 to 8 ounces,Shake with ice and strain into ice-filled old-fashioned glass.
Stone Cocktail,Cocktail Glass,6 or more ounces,Stir with ice and strain into chilled cocktail glass.
Almeria,Cocktail Glass,6 or more ounces,Shake all ingredients with cracked ice and strain into cocktail glass.
Aunt Jemima,Pousse-Cafe_ Glass, 1 _  ounces,"Pour carefully, in order given, into a pousse-cafe glass so that ingredients do not mix."
Spanish Town Cocktail,Cocktail Glass,6 or more ounces,Stir with ice and strain into chilled cocktail glass.
Apricot Lady,Old-Fashioned Glass,6 to 8 ounces,Shake all ingredients with ice and strain into old-fashioned glass over ice cubes. Add an orange slice.
Apricot Anise Collins,Collins Glass,14 to 16 ounces,Shake with ice and strain into Collins glass over ice. Fill with carbonated water and stir lightly. Garnish with a slice of lemon.
Apple Rum Rickey,Highball Glass,7 to 10 ounces,Pour applejack and rum into highball glass over ice cubes. Fill with carbonated water. Squeeze lime and drop into glass. Stir.
Sloppy Joe's Cocktail No. 1,Cocktail Glass,6 or more ounces,Shake with ice and strain into chilled cocktail glass.
Applejack Punch,Punch Cup,3 to 4 ounces,Combine first three ingredients in punch bowl with large block of ice. Add ginger ale and slices of apple.
Brandy Flip,Sour Glass,5 to 6 ounces,Shake with ice and strain into sour glass. Sprinkle a little nutmeg on top.
Sir Walter Cocktail,Cocktail Glass,6 or more ounces,Shake with ice and strain into chilled cocktail glass.
Saxon Cocktail,Cocktail Glass,6 or more ounces,Shake with ice and strain into chilled cocktail glass. Add orange twist.
Boston Bullet,Cocktail Glass,6 or more ounces,A Martini substituting an olive stuffed with an almond for the regular olive. See Martini on page 130.
Sargasso,Cocktail Glass,6 or more ounces,Stir with ice and strain into chilled cocktail glass. Garnish with orange twist.
Santiago Cocktail,Cocktail Glass,6 or more ounces,Shake with ice and strain into chilled cocktail glass.
Black Velvet,Champagne Flute,6 to 8 ounces,"Pour very carefully, in order given, into champagne flute so that the stout and champagne don't mix. "
Saint Lucy Bracer,Cocktail Glass,6 or more ounces,Stir with ice and strain into chilled cocktail glass. Garnish with flower.
Applecar,Cocktail Glass,6 or more ounces,Shake with ice and strain into cocktail glass.
Apple Blow Fizz,Highball Glass,7 to 10 ounces,Shake with ice and strain into highball glass with two ice cubes. Fill with carbonated water.
Antoine Special,Red-Wine Glass,12 to 24 ounces,Float vermouth on top of chilled Dubonnet in a wine glass.
Ante,Cocktail Glass,6 or more ounces,Stir well with cracked ice and strain into cocktail glass.
S & V,Cocktail Glass,6 or more ounces,Shake with ice and strain into chilled cocktail glass. Garnish with lime.
Rum Toddy (Cold),Old-Fashioned Glass,6 to 8 ounces,"Stir rum, water, and syrup in old-fashioned glass. Add large cube of ice. Add lemon twist."
Deauville Cocktail,Cocktail Glass,6 or more ounces,Shake with ice and strain into chilled cocktail glass.
Allies Cocktail,Cocktail Glass,6 or more ounces,Stir with ice and strain into cocktail glass.
Rum Swizzle,Collins Glass,14 to 16 ounces,"Combine first four ingredients in ice-filled Collins glass. With bar spoon between your palms, move hands back and forth and up and down to quickly rotate and lift spoon, until glass is frosted. Top with soda water. Serve with a swizzle stick."
A. J.,Cocktail Glass,6 or more ounces,Shake with ice and strain into cocktail glass.
After Supper Cocktail,Cocktail Glass,6 or more ounces,Shake with ice and strain into cocktail glass.
Rum Sour,Cordial or Pony Glass,2 to 3 ounces,Shake with ice and strain into chilled sour glass. Garnish with lemon and cherry.
Acapulco,Old-Fashioned Glass,6 to 8 ounces,Combine and shake all ingredients with ice and strain into old-fashioned glass over ice cubes. Add a sprig of mint.
Absinthe Drip Cocktail,Old-Fashioned Glass,6 to 8 ounces,"Pour Anis into special drip glass or old-fashioned cocktail glass. Place sugar cube over hole of drip spoon (or in silver tea strainer). Pack spoon or strainer with cracked ice, pour cold water to fill. When water has dripped through, drink is ready."
Ambrosia,Highball Glass,7 to 10 ounces,Shake all ingredients except champagne. Pour contents into highball glass with cubed ice. Fill with chilled champagne.
Rum Screwdriver,Highball Glass,7 to 10 ounces,Stir rum and orange juice in ice-filled highball glass.
Rum Rickey,Highball Glass,7 to 10 ounces,Pour rum and lime juice into ice-filled highball glass. Fill with soda water and stir. Add lime.
Scotch Cocktail,Cocktail Glass,6 or more ounces,Shake with ice and strain into cocktail glass.
Rum Relaxer,Hurricane Glass,14 to 20 ounces,Shake first three ingredients with ice and pour with ice into hurricane or parfait glass. Fill glass with lemon-lime soda. Garnish with orange and cherry.
Rum Old-Fashioned,Old-Fashioned Glass,6 to 8 ounces,Stir in ice-filled old-fashioned glass. Add lemon twist.
Rum Martini,Cocktail Glass,6 or more ounces,Stir rum and vermouth with ice in mixing glass. Strain into ice-filled cocktail glass. Add lemon twist.
Rum Highball,Highball Glass,7 to 10 ounces,Pour rum into highball glass over ice cubes. Fill with ginger ale or soda water and stir. Add lemon twist.
Rum Fix,Highball Glass,7 to 10 ounces,Pour ingredients into ice-filled highball glass and stir. Add lemon. Serve with a straw.
Rum Daisy,Beer Mug,10 to 12 ounces,Shake with ice and strain into chilled beer mug or metal cup. Add 1 large ice cube. Garnish with fruit.
D'artagnan,Champagne Flute,6 to 8 ounces,Shake first four ingredients with ice and strain into champagne flute. Top with Champagne and insert orange zest strips to extend the length of the glass.
Rum Cooler,Collins Glass,14 to 16 ounces,"Stir rum and syrup in Collins glass. Fill with ice, add soda water or ginger ale, and stir again. Insert citrus spiral(s) and dangle end(s) over glass rim."
Rum Collins,Collins Glass,14 to 16 ounces,"Shake rum, lime juice, and syrup with ice and strain into chilled Collins glass. Add several ice cubes, fill with soda water, and stir. Add lemon and cherry. Serve with a straw."
Seaboabd,Old-Fashioned Glass,6 to 8 ounces,Shake with ice and strain into old-fashioned glass over ice cubes. Decorate with mint leaves.
Rum Cobbler,Red-Wine Glass,12 to 24 ounces,"In red-wine glass, stir rum and syrup. Top with soda water. Garnish with fruit and serve with a straw."
Robson Cocktail,Cocktail Glass,6 or more ounces,Shake with ice and strain into chilled cocktail glass.
Rio Fix,Champagne Flute,6 to 8 ounces,Pour pastis into chilled champagne flute and swirl to coat inside. Shake remaining ingredients with ice and strain into glass.
Ringo Starr,Old-Fashioned Glass,6 to 8 ounces,"Muddle grapes, lemon, mint, and sugar in shaker. Add rum and ice and shake briefly. Strain into chilled old-fashioned glass."
Restless Native,Cocktail Glass,6 or more ounces,Shake with ice and strain into chilled cocktail glass. Garnish with lime spiral.
Quarter Deck Cocktail,Cocktail Glass,6 or more ounces,Stir with ice and strain into chilled cocktail glass.
Quaker's Cocktail,Cocktail Glass,6 or more ounces,Shake with ice and strain into chilled cocktail glass.
Puerto Rican Rum Daisy,Cocktail Glass,6 or more ounces,Shake with ice and strain into chilled cocktail glass. Top with nutmeg and garnish with orange.
Cuban Cocktail No. 2,Cocktail Glass,6 or more ounces,Shake with ice and strain into chilled cocktail glass.
Prohibition Punch,Brandy Snifter,8 to 12 ounces,Shake first five ingredients with ice. Strain into ice-filled snifter. Top with Champagne.
Prairie Oyster Cocktail,Old-Fashioned Glass,6 to 8 ounces,Shake with ice and strain into old-fashioned glass over two ice cubes. Place an egg yolk on top without breaking it. Add a dash of cayenne pepper.
Poker Cocktail,Cocktail Glass,6 or more ounces,Stir with ice and strain into chilled cocktail glass.
Planter's Punch No. 2,Collins Glass,14 to 16 ounces,"Stir first five ingredients in ice-filled Collins glass until glass is frosted. Add Jamaican rum, stir, and top with triple sec and grenadine. Garnish with fruit and mint. Serve with a straw."
Planter's Punch No. 1,Collins Glass,14 to 16 ounces,"Stir rum, lime juice, syrup, and bitters in ice-filled Collins glass until glass is frosted. Fill with soda water and top with grenadine. Garnish with the fruit. Serve with a straw."
Planter's Cocktail,Cocktail Glass,6 or more ounces,Shake with ice and strain into chilled cocktail glass.
Pink Paradise,Hurricane Glass,14 to 20 ounces,Stir ingredients in ice-filled hurricane glass. Garnish with pineapple and cherry.
Pink Creole,Cocktail Glass,6 or more ounces,Shake with ice and strain into chilled cocktail glass. Add cherry.
Pineapple Fizz,Highball Glass,7 to 10 ounces,"Shake rum, pineapple juice, and syrup with ice and strain into chilled highball glass over 2 ice cubes. Fill with soda water and stir."
Pineapple Cocktail,Cocktail Glass,6 or more ounces,Shake with ice and strain into chilled cocktail glass.
Pearl Button,Collins Glass,14 to 16 ounces,Shake first three ingredients with ice and strain into ice-filled Collins glass. Top with soda. Garnish with pineapple and cherry.
The Crux,Cocktail Glass,6 or more ounces,Stir with ice and strain into chilled cocktail glass. Add orange twist.
Paris When It Sizzles,Cocktail Glass,6 or more ounces,Shake with ice and strain into chilled cocktail glass. Garnish with lime.
Palmetto Cocktail,Cocktail Glass,6 or more ounces,Stir with ice and strain into chilled cocktail glass.
Paddington,Cocktail Glass,6 or more ounces,"Pour absinthe into chilled cocktail glass, swirl to coat inside, and discard excess. Shake remaining ingredients with ice and strain into glass. Add grapefruit twist."
The Old Cuban,Cocktail Glass,6 or more ounces,"Muddle mint leaves, syrup, and lime juice in mixing glass. Add rum, bitters, and ice and shake well. Strain into chilled cocktail glass and top with Champagne. Garnish with chopped mint."
"Oh, Gosh!",Cocktail Glass,6 or more ounces,Shake with ice and strain into chilled cocktail glass. Add lemon twist.
Night Cap,Irish Coffee Glass,8 to 9 ounces,"Pour rum and syrup in prewarmed Irish coffee glass, fill with warm milk, and stir. Top with nutmeg."
New Orleans Buck,Collins Glass,14 to 16 ounces,Shake first three ingredients with ice and strain into ice-filled Collins glass. Fill with ginger ale and stir.
Nevada Cocktail,Cocktail Glass,6 or more ounces,Shake with ice and strain into chilled cocktail glass.
Moonquake Shake,Cocktail Glass,6 or more ounces,Shake with ice and strain into chilled cocktail glass.
Monkey Wrench,Collins Glass,14 to 16 ounces,Pour rum into ice-filled Collins glass. Fill with grapefruit juice and stir.
Creme De Cafe,Old-Fashioned Glass,6 to 8 ounces,Shake with ice and strain into chilled old-fashioned glass.
Margarita,Cocktail Glass,6 or more ounces,Rim chilled cocktail glass with lime and salt. Shake remaining ingredients with ice and strain into glass.
Mojito,Collins Glass,14 to 16 ounces,"Muddle the limes, mint, and syrup in a Collins glass. Add the rum with ice and stir well. Top with soda water. Garnish with mint."
Champagne Flamingo,Champagne Flute,6 to 8 ounces,Shake vodka and Campari with ice. Strain into chilled champagne flute and top with Champagne. Add orange twist.
Thunder and Lightning Cocktail,Cocktail Glass,6 or more ounces,Shake with ice and strain into cocktail glass.
Casco Bay Lemonade,Collins Glass,14 to 16 ounces,Shake first four ingredients with ice. Pour into ice-filled Collins glass. Fill glass with lemon-lime soda. Float lemon wheel on top.
Caribbean Cruise,Collins Glass,14 to 16 ounces,Shake first four ingredients with ice and pour into ice-filled Collins glass. Fill with pineapple juice. Garnish with pineapple and cherry.
Cappuccino Cocktail,Cocktail Glass,6 or more ounces,Shake with ice and strain into chilled cocktail glass.
Cape Codder,Highball Glass,7 to 10 ounces,Pour into ice-filled highball glass. Stir well. Garnish with lime.
Baltimore Bracer Cocktail,Cocktail Glass,6 or more ounces,Shake with ice and strain into cocktail glass. 
Caesar,Highball Glass,7 to 10 ounces,"Rim highball glass with lemon and celery salt, and then fill with ice. Shake ingredients with ice and strain into glass. Garnish with celery and lemon."
Bull Shot,Old-Fashioned Glass,6 to 8 ounces,Shake with ice and strain into chilled old-fashioned glass.
Bullfrog,Collins Glass,14 to 16 ounces,Pour into ice-filled Collins glass and stir. Garnish with lime.
Boston Gold,Highball Glass,7 to 10 ounces,Shake with ice and strain into ice-filled highball glass.
Corpse Reviver No. 1,Cocktail Glass,6 or more ounces,Stir with ice and strain into a chilled cocktail glass.
Thanksgiving Special Cocktail,Cocktail Glass,6 or more ounces,Shake with ice and strain into cocktail glass. Serve with a cherry.
Tequini Cocktail,Cocktail Glass,6 or more ounces,Stir with ice and strain into cocktail glass. Serve with twist of lemon peel and an olive.
Bordeaux Cocktail,Cocktail Glass,6 or more ounces,Stir with ice and strain into chilled cocktail glass. Add lemon twist.
Bolshoi Punch,Old-Fashioned Glass,6 to 8 ounces,Shake and pour into ice-filled old-fashioned glass.
Blue Lagoon,Highball Glass,7 to 10 ounces,Shake with ice and strain into ice-filled highball glass. Garnish with cherry.
Stinger Cocktail,Cocktail Glass,6 or more ounces,Shake with ice and strain into cocktail glass.
Bloody Mary,Old-Fashioned Glass,6 to 8 ounces,Roll with ice between both halves of Boston shaker. Strain into ice-filled old-fashioned glass. Garnish with lime and celery.
Spritzer Highball,Highball Glass,7 to 10 ounces,Pour into highball glass with ice cubes. Fill balance with carbonated water and stir gently.
Bloody Bull,Highball Glass,7 to 10 ounces,Pour into ice-filled highball glass. Stir. Squeeze and add lemon. Garnish with lime wheel.
The Blood Orange,Cocktail Glass,6 or more ounces,Stir with ice and strain into chilled cocktail glass. Garnish with orange.
Black Russian,Old-Fashioned Glass,6 to 8 ounces,Pour into ice-filled old-fashioned glass and stir.
Black Magic,Old-Fashioned Glass,6 to 8 ounces,Shake with ice and strain into ice-filled old-fashioned glass. Add lemon twist.
Black Cherry Chocolate,Cocktail Glass,6 or more ounces,Shake with ice and strain into chilled cocktail glass.
Victor Collins,Collins Glass,14 to 16 ounces,Shake with ice and strain into collins glass with ice cubes. Add slice of orange.
Snowball Cocktail,Cocktail Glass,6 or more ounces,Shake with ice and strain into cocktail glass.
Violet Fizz,Highball Glass,7 to 10 ounces,Shake with ice and strain into highball glass with two ice cubes. Fill with carbonated water and stir.
Bikini,Cocktail Glass,6 or more ounces,Shake with ice and strain into chilled cocktail glass. Add lemon twist.
Cold Deck Cocktail,Cocktail Glass,6 or more ounces,Stir with ice and strain into chilled cocktail glass.
The Big Crush,Cocktail Glass,6 or more ounces,Shake first four ingredients with ice. Strain into chilled cocktail glass and top with Champagne. Garnish with berries.
Bianca,Cocktail Glass,6 or more ounces,Rim chilled cocktail glass with lime and sugar. Shake remaining ingredients with ice and strain into glass. Add lemon twist and pomegranate seeds.
Bella Fragolia,Old-Fashioned Glass,6 to 8 ounces,"Muddle chopped strawberry and 4 basil leaves in mixing glass. Add vodka, lemon juice, and syrup with ice and shake well. Double-strain into ice-filled old-fashioned glass and top with soda water. Garnish with strawberry and basil."
Beer Buster,Highball Glass,7 to 10 ounces,Pour vodka into highball glass and fill with beer or ale. Add hot sauce and stir lightly.
Basil 8,Collins Glass,14 to 16 ounces,Muddle basil and 5 grapes in Collins glass. Add next four ingredients and stir. Add ice and top with ginger ale. Garnish with basil sprig and 1 white grape.
Shamrock Cocktail,Cocktail Glass,6 or more ounces,Stir with ice and strain into cocktail glass. Serve with an olive.
Aqueduct,Cocktail Glass,6 or more ounces,Shake with ice and strain into chilled cocktail glass. Add orange twist.
Scotch Whisky Highball,Highball Glass,7 to 10 ounces,"Put whisky in highball glass with ice cubes and fill with ginger ale or carbonated water. Add twist of lemon peel, if desired, and stir."
Alfie Cocktail,Cocktail Glass,6 or more ounces,Shake with ice and strain into chilled cocktail glass.
Admiral Perry,Cocktail Glass,6 or more ounces,Stir with ice and shake into chilled cocktail glass. Garnish with pear slice.
Yellow Rose Of Texas,Cocktail Glass,6 or more ounces,Shake first four ingredients with ice and strain into chilled cocktail glass. Top with rose water.
St. Patrick's Day Cocktail,Collins Glass,14 to 16 ounces,Stir with ice and strain into cocktail glass.
Purple Twister,Collins Glass,14 to 16 ounces,"Pour into collins glass over ice cubes. Fill with cola, add slice of lemon, and stir."
Waiting On Summer,Collins Glass,14 to 16 ounces,"Muddle cucumber, sage, and lime juice in mixing glass. Add tequila and syrup with ice and shake. Double-strain into ice-filled Collins glass. Top with ginger ale. Garnish with strawberry."
Cognac Highball,Highball Glass,7 to 10 ounces,"Pour Cognac into ice-filled highball glass and fill with ginger ale or soda water. Add lemon twist, if desired, and stir."
Prince's Smile Cocktail,Cocktail Glass,6 or more ounces,Shake with ice and strain into cocktail glass.
Viva Villa,Old-Fashioned Glass,6 to 8 ounces,Rim old-fashioned glass with lime and salt. Fill with ice. Shake remaining ingredients with ice and strain into glass.
Praire Oyster Cocktail,Old-Fashioned Glass,6 to 8 ounces,Shake with ice and strain into old-fashioned glass over two ice cubes. Place an egg yolk on top without breaking it. Add dash of cayenne pepper.
Praire Chicken,White-Wine Glass,10 to 18 ounces,Open egg without breaking the yolk and put in wine glass. Pour gin on top. Add pepper and salt.
Venial Sin,Cocktail Glass,6 or more ounces,Stir with ice and strain into chilled cocktail glass.
Vagabundo,Hurricane Glass,14 to 20 ounces,Shake ingredients with ice. Strain into ice-filled hurricane glass. Garnish with lime wheel.
The 21st Century,Cocktail Glass,6 or more ounces,Swirl absinthe in chilled cocktail glass to coat inside; discard excess absinthe. Shake remaining ingredients with ice and strain into glass.
Pollyanna Cocktail,Cocktail Glass,6 or more ounces,"Muddle oranges and pineapple with gin, vermouth, and grenadine.  Shake with ice and strain into cocktail glass."
Toreador,Cocktail Glass,6 or more ounces,"Shake with ice. Strain into chilled cocktail glass. Top with whipped cream, sprinkle with cocoa. THE 21ST CENTURY 1 splash"
Pink Squirrel Cocktail,Cocktail Glass,6 or more ounces,Shake with ice and strain into cocktail glass.
Pink Lady Cocktail,Cocktail Glass,6 or more ounces,Shake with ice and strain into cocktail glass.
Tijuana Taxi,Highball Glass,7 to 10 ounces,Pour first three ingredients into ice-filled large highball glass. Fill with lemon-lime soda. Garnish with orange and cherry.
Tia Juanathan,Highball Glass,7 to 10 ounces,Shake first four ingredients with ice and strain into ice-filled highball glass. Top with soda water. Garnish with orange.
Phoebe Snow Cocktail,Cocktail Glass,6 or more ounces,Stir with ice and strain into cocktail glass.
Tequonic,Old-Fashioned Glass,6 to 8 ounces,"Pour tequila into ice-filled old-fashioned glass. Add juice, fill with tonic water, and stir. Garnish with citrus wedge."
Tequini,Cocktail Glass,6 or more ounces,Stir with ice and strain into chilled cocktail glass. Add lemon twist.
Passion Daiquiri Cocktail,Cocktail Glass,6 or more ounces,Shake with ice and strain into cocktail glass.
Parisian Blonde Cocktail,Cocktail Glass,6 or more ounces,Shake with ice and strain into cocktail glass.
Tequila Sunrise,Highball Glass,7 to 10 ounces,"Pour tequila and orange juice into ice-filled highball glass. Stir and add ice. Slowly pour in grenadine and allow to settle at glass bottom. Before drinking, stir to create the ""sunrise"""
Coffee Grasshopper,Old-Fashioned Glass,6 to 8 ounces,Shake with ice and strain into ice-filled old-fashioned glass.
Tequila Straight,Shot Glass,1 _ to 2 ounces,"Put salt between thumb and index finger on back of one hand. Hold shot glass of tequila in same hand and lime wedge in other hand. Taste the salt, drink the tequila, and then suck the lime."
Tequila Sour,Cordial or Pony Glass,2 to 3 ounces,Shake with ice and strain into chilled sour glass. Garnish with lemon and cherry.
Tequila Smash,Old-Fashioned Glass,6 to 8 ounces,Muddle blueberries and cherries in mixing glass. Add remaining ingredients and shake. Double-strain into ice-filled old-fashioned glass. Garnish with skewered fruit.
Tequila Pink,Cocktail Glass,6 or more ounces,Shake with ice and strain into chilled cocktail glass.
Tequila Old-Fashioned,Old-Fashioned Glass,6 to 8 ounces,"Pour tequila, syrup, and bitters in ice-filled old-fashioned glass and stir. Add soda. Add lemon twist."
Rob Roy Cocktail,Cocktail Glass,6 or more ounces,Stir with ice and strain into cocktail glass.
Tequila Mockingbird,Cocktail Glass,6 or more ounces,Rim one half of a chilled cocktail glass with lime and salt. Muddle ginger in mixing glass. Add remaining ingredients with ice and shake. Strain into glass. Garnish with lime wheel.
Tequila Matador,Champagne Flute,6 to 8 ounces,Shake with ice and strain into chilled champagne flute.
Tequila Manhattan,Old-Fashioned Glass,6 to 8 ounces,Shake with ice and strain into ice-filled old-fashioned glass. Add cherry.
T.N.T. Cocktail,Cocktail Glass,6 or more ounces,Shake with ice and strain into cocktail glass.
Thunderclap Cocktail,Cocktail Glass,6 or more ounces,Shake with ice and strain into cocktail glass.
Thunder Cocktail,Cocktail Glass,6 or more ounces,Shake with ice and strain into cocktail glass.
Tequila Collins,Collins Glass,14 to 16 ounces,"Shake first three ingredients with ice and strain into chilled Collins glass. Add several ice cubes, fill with soda water, and stir. Garnish with lemon, orange, and cherry. Serve with straw."
White Lady Cocktail,Cocktail Glass,6 or more ounces,Shake with ice and strain into cocktail glass.
Tequila Canyon,Collins Glass,14 to 16 ounces,Pour into Collins glass and stir. Add ice. Garnish with lime. Serve with straw.
Chicago Cocktail,Old-Fashioned Glass,6 to 8 ounces,Rim chilled old-fashioned glass with lemon and sugar. Stir remaining ingredients with ice and strain into glass.
Sunday Confession,Collins Glass,14 to 16 ounces,Pour the first three ingredients into Collins glass and stir briefly. Add ice and top with ginger beer. Add lemon.
Strawberry Margarita,Cocktail Glass,6 or more ounces,"If desired, rim chilled cocktail glass with lime and sugar or salt. Muddle strawberries with schnapps in mixing glass. Add remaining ingredients and shake with ice. Strain through fine wire sieve into glass. Add strawberry."
Western Rose Cocktail,Cocktail Glass,6 or more ounces,Shake with ice and strain into cocktail glass.
Widow's Kiss Cocktail,Cocktail Glass,6 or more ounces,Shake with ice and strain into cocktail glass.
Spice Of Life,Old-Fashioned Glass,6 to 8 ounces,"Muddle 3 cucumber slices, mint leaves, and syrup in mixing glass. Add tequila and lime juice with ice and shake. Double-strain into ice-filled old-fashioned glass. Garnish with cucumber slice and mint sprig."
Widow's Dream Cocktail,Cocktail Glass,6 or more ounces,Shake with ice and strain into cocktail glass. Float one teaspoon of sweet cream on top.
Vodka Gypsy Cocktail,Cocktail Glass,6 or more ounces,Stir with ice and strain into cocktail glass.
South Of The Border,Cordial or Pony Glass,2 to 3 ounces,Shake with ice and strain into chilled sour glass. Garnish with lime.
Vodka Grasshopper Cocktail,Cocktail Glass,6 or more ounces,Shake with ice and strain into cocktail glass.
Violet Fizz Juice,Highball Glass,7 to 10 ounces,Shake with ice and strain into highball glass with two ice cubes. Fill with carbonated water and stir.
