abbr,latitude,longitude,state, cocktail,Image URL
SC,33.62505,-80.9470381,South Carolina,Tequila Sunrise,https://images.fineartamerica.com/images-medium-large-5/squirrels-at-cocktail-hour-peggy-collins.jpg
SD,44.2126995,-100.24716409999999,South Dakota,Screwdriver,https://images.fineartamerica.com/images-medium-large-5/squirrels-at-cocktail-hour-peggy-collins.jpg
TN,35.830521000000005,-85.97859890000001,Tennessee,Horse's Neck (With A Kick),https://images.fineartamerica.com/images-medium-large-5/squirrels-at-cocktail-hour-peggy-collins.jpg
TX,31.1693363,-100.0768425,Texas,Count Camillo's Paloma,https://images.fineartamerica.com/images-medium-large-5/squirrels-at-cocktail-hour-peggy-collins.jpg
UT,39.4997605,-111.547028,Utah,Cape Codder,https://images.fineartamerica.com/images-medium-large-5/squirrels-at-cocktail-hour-peggy-collins.jpg
VT,43.8717545,-72.4477828,Vermont,Cosmopolitan,https://images.fineartamerica.com/images-medium-large-5/squirrels-at-cocktail-hour-peggy-collins.jpg
VA,38.0033855,-79.4587861,Virginia,Fancy Whiskey,https://images.fineartamerica.com/images-medium-large-5/squirrels-at-cocktail-hour-peggy-collins.jpg
WA,38.899348700000004,-77.0145665,Washington,Fancy Whiskey,https://images.fineartamerica.com/images-medium-large-5/squirrels-at-cocktail-hour-peggy-collins.jpg
WV,38.920170500000005,-80.1816905,West Virginia,Cosmopolitan,https://images.fineartamerica.com/images-medium-large-5/squirrels-at-cocktail-hour-peggy-collins.jpg
WI,44.7862968,-89.82670490000001,Wisconsin,Grasshopper Cocktail,https://images.fineartamerica.com/images-medium-large-5/squirrels-at-cocktail-hour-peggy-collins.jpg
WY,43.000325,-107.5545669,Wyoming,White Russian,https://images.fineartamerica.com/images-medium-large-5/squirrels-at-cocktail-hour-peggy-collins.jpg
