abbr,latitude,longitude,state, cocktail,images_url
NY,40.7056258,-73.97968,New York, Manhattan,https://www.thecocktaildb.com/images/media/drink/yk70e31606771240.jpg
CT,41.5187835,-72.757507,Connecticut, Margarita,https://www.thecocktaildb.com/images/media/drink/tqyrpw1439905311.jpg
ME,45.2185133,-69.0148656,Maine, Margarita,https://www.thecocktaildb.com/images/media/drink/tqyrpw1439905311.jpg
MA,42.0629398,-71.718067,Massachusetts, Old Fashioned,https://www.thecocktaildb.com/images/media/drink/vrwquq1478252802.jpg
NE,41.5008195,-99.680902,Nebraska, Old Fashioned,https://www.thecocktaildb.com/images/media/drink/vrwquq1478252802.jpg
NH,44.0012306,-71.5799231,New Hampshire, Old Fashioned,https://www.thecocktaildb.com/images/media/drink/vrwquq1478252802.jpg
NM,34.1662325,-106.0260685,New Mexico, Old Fashioned,https://www.thecocktaildb.com/images/media/drink/vrwquq1478252802.jpg
OR,44.1419049,-120.5380993,Oregon, Old Fashioned,https://www.thecocktaildb.com/images/media/drink/vrwquq1478252802.jpg
VA,38.0033855,-79.4587861,Virginia, Old Fashioned,https://www.thecocktaildb.com/images/media/drink/vrwquq1478252802.jpg
WA,38.8993487,-77.0145665,Washington, Old Fashioned,https://www.thecocktaildb.com/images/media/drink/vrwquq1478252802.jpg
DC,38.8993487,-77.0145666,District of Columbia, Old Fashioned ,https://www.thecocktaildb.com/images/media/drink/vrwquq1478252802.jpg
MN,46.4418595,-93.3655146,Minnesota, Oliveto ,https://www.google.com/url?sa=i&url=https%3A%2F%2Fwww.pinterest.com%2Fpin%2F359584351483968359%2F&psig=AOvVaw1LbmfcGho7EEK0nvh_U_jY&ust=1611799141350000&source=images&cd=vfe&ved=0CAIQjRxqFwoTCJCckPCBu-4CFQAAAAAdAAAAABAJ
MS,32.5851062,-89.8772196,Mississippi, Painkiller,https://www.google.com/url?sa=i&url=https%3A%2F%2Fwww.keyingredient.com%2Frecipes%2F14641168%2Fpainkiller-cocktail%2F&psig=AOvVaw06fTwA8oIuFtz3D8J8W1AI&ust=1611799122548000&source=images&cd=vfe&ved=0CAIQjRxqFwoTCPCq8uaBu-4CFQAAAAAdAAAAABAD
AZ,34.1682185,-111.930907,Arizona, Paloma,https://www.thecocktaildb.com/images/media/drink/samm5j1513706393.jpg
CA,37.2718745,-119.2704153,California, Paloma,https://www.thecocktaildb.com/images/media/drink/samm5j1513706393.jpg
TX,31.1693363,-100.0768425,Texas, Paloma,https://www.thecocktaildb.com/images/media/drink/samm5j1513706393.jpg
GA,32.6781248,-83.2229757,Georgia, Sazerac,https://www.thecocktaildb.com/images/media/drink/vvpxwy1439907208.jpg
DE,39.145251,-75.4189206,Delaware, Screwdriver,https://www.thecocktaildb.com/images/media/drink/8xnyke1504352207.jpg
KS,38.4987789,-98.3200779,Kansas, Screwdriver,https://www.thecocktaildb.com/images/media/drink/8xnyke1504352207.jpg
SD,44.2126995,-100.2471641,South Dakota, Screwdriver,https://www.thecocktaildb.com/images/media/drink/8xnyke1504352207.jpg
SC,33.62505,-80.9470381,South Carolina, Tequila Sunrise,https://www.thecocktaildb.com/images/media/drink/quqyqp1480879103.jpg
AK,61.3025006,-158.7750198,Alaska, Whiskey Sour,https://www.thecocktaildb.com/images/media/drink/hbkfsh1589574990.jpg
PA,40.9945928,-77.6046984,Pennsylvania, Whiskey Sour ,https://www.thecocktaildb.com/images/media/drink/hbkfsh1589574990.jpg
WY,43.000325,-107.5545669,Wyoming, White Russian,https://www.google.com/url?sa=i&url=https%3A%2F%2Fwww.petitegourmets.com%2Frecipes%2Fwhite-russian-cocktail&psig=AOvVaw3RXgGd3Ce_hdPgvvR6EHPU&ust=1611799730239000&source=images&cd=vfe&ved=0CAIQjRxqFwoTCICDy4iEu-4CFQAAAAAdAAAAABAD
